,disquera,SUM(reproducciones),ano
0,Rimas Entertainment LLC,97404857.0,2020
1,Sony Music Latin,44161005.0,2020
2,UMLE - Latino,37016317.0,2020
3,Music VIP Entertainment Inc,30137225.0,2020
4,Afinarte Music,26587041.0,2020
5,Universal Music Mexico,24812557.0,2020
6,DEL Records,17543973.0,2020
7,Sony Music Entertainment Latin,17289400.0,2022
8,Rancho Humilde,16786539.0,2020
9,Sony Music Latin/Duars Entertainment,16700292.0,2020
10,Lizos Music,14254287.0,2020
11,WEA Latina,13057526.0,2020
12,UMLE - Fonovisa,12125262.0,2020
13,LAR Music,10793401.0,2020
14,Columbia,9556813.0,2020
15,Marca MP,9366608.0,2020
16,Sony Music México,9323672.0,2020
17,RCA Records Label,9258543.0,2020
18,"Andaluz Music, LLC",8661514.0,2021
19,BIGHIT MUSIC,8640013.0,2020
20,Kevin Kaarl,8323636.0,2022
21,Dale Play Records,7785358.0,2020
22,Kartel Music,7299747.0,2021
23,Rich Music,6500928.0,2020
24,"Producciones Ladon, S.A de C.V.",5984721.0,2021
25,EMI Latin (LAT),5664780.0,2020
26,Aura Music Corp.,5551427.0,2020
27,Cuatro Siete Tres Music,5302995.0,2022
28,Epic,5129789.0,2020
29,WM Mexico,5025700.0,2020
30,Republic Records,4913622.0,2021
31,Pure Nigga,4893921.0,2022
32,RB Music,4677670.0,2022
33,Tamarindo Rekordsz,4272863.0,2021
34,Lumbre Music,4230233.0,2022
35,Virgin Music México,4208542.0,2021
36,Parlophone UK,3987566.0,2022
37,Kemosabe Records/RCA Records,3893502.0,2022
38,"Fonovisa, Warner Chappell Music",3882084.0,2020
39,Shots Studios & Music/10:22pm/Interscope Records,3829612.0,2020
40,En Tu Perra Vida,3796049.0,2021
41,Promotodo Mexico,3683304.0,2020
42,Nabru Records LLC,3667167.0,2022
43,Vende Music,3629355.0,2020
44,Musart-Balboa,3616153.0,2020
45,Sony Music Entertainment Chile S.A,3598157.0,2022
46,Warner Records,3587870.0,2022
47,Anval Music,3563694.0,2022
48,NEON16/Interscope Records,3474095.0,2020
49,TAMARINDO RECORDS,3348199.0,2020
50,Capitol Latin,3183258.0,2020
51,Space Music,3087195.0,2020
52,Serca,3016763.0,2021
53,Flow La Movie,2975045.0,2020
54,Pachy / RB Music,2926018.0,2021
55,Music VIP Entertainment,2913794.0,2021
56,Linked Music / Dynamic Records / EMPIRE,2861160.0,2020
57,Favorito Musik,2767883.0,2022
58,INZ Records,2766196.0,2021
59,Atlantic Records,2700920.0,2021
60,Neon16,2439550.0,2021
61,"Babilonia Music, S.A. De C.V.",2428864.0,2020
62,Un Millon De Primaveras,2412988.0,2021
63,Prajin Records / Worms Music,2380782.0,2022
64,White World Music,2358148.0,2020
65,Sony Music UK,2234989.0,2022
66,WM Spain,2210056.0,2020
67,KIDinaKORNER/Interscope Records,2198463.0,2021
68,Rancho Humilde/ Lumbre Music,2163278.0,2021
69,Sony Music Group,2149160.0,2020
70,King Records,2135773.0,2022
71,la humildad de la musica norteña,2135617.0,2022
72,Cali y El Dandee PS,2117567.0,2020
73,Premier Music Group,2107836.0,2022
74,"Homegrown Entertainment, BMG Publishing",2097328.0,2020
75,"Duars Entertainment, Corp.",2067282.0,2020
76,YG Entertainment/Interscope Records,2030310.0,2021
77,Genesis Records,2027610.0,2022
78,"RCA Records Label, BMG Publishing, Realsongs",2002693.0,2022
79,Fonovisa,2002690.0,2020
80,"Sueños Globales, LLC",1992163.0,2021
81,REMEX MUSIC,1991393.0,2020
82,"Hecho A Mano Music, LLC",1971897.0,2020
83,"TuStream, LLC",1969892.0,2020
84,Santa RM,1956387.0,2021
85,Universal Music Spain S.L.,1950298.0,2021
86,"Universal Music Latino, Sony Music Publishing",1922050.0,2021
87,Prajin Parlay / Z Records,1919507.0,2021
88,Young Flex/Interscope Records,1902363.0,2020
89,473 Music,1895483.0,2021
90,WEA Latina/DALE PLAY Records,1833807.0,2021
91,P NATION,1806249.0,2022
92,Elegante Records,1767575.0,2021
93,"Sony Music Latin, Sony Music Publishing",1751012.0,2021
94,"Manzana Records, Inc.",1694282.0,2022
95,WM South Africa,1634455.0,2021
96,Puro Grupo Firme Ent,1618153.0,2021
97,LEB Records,1592620.0,2020
98,Viva Music Group,1587089.0,2021
99,BS Music,1544666.0,2021
100,EL CLAN RECORDS,1493910.0,2020
101,Rap Trap Records / Alzada Corp,1452657.0,2022
102,Master Q Music,1446610.0,2021
103,Disa,1423505.0,2022
104,Musica del Pueblo,1346037.0,2020
105,Esteman,1290059.0,2021
106,Secretto Music,1281515.0,2020
107,"Azteca Records, LLC - Omar Chaparro / Fonovisa",1279073.0,2021
108,La Empresa Music,1277225.0,2020
109,"Azteca Records, LLC",1269718.0,2021
110,"Universal Music Mexico, Universal Music Publishing",1261336.0,2021
111,Kartel Music / Vim Music / Mercado Music,1236342.0,2022
112,Andaluz Records/Disa/UMLE,1236125.0,2020
113,Grupo 360,1223994.0,2021
114,Walt Disney Records,1222490.0,2021
115,Chosen Few/ WK Records,1197194.0,2021
116,Somos Osos,1191778.0,2022
117,Sosa Mafia Records,1169925.0,2022
118,DIAM Music,1162065.0,2022
119,Andaluz Music - Banda Carnaval,1155068.0,2020
120,TWIINS MUSIC GROUP,1135341.0,2022
121,Republic Records - TWICE,1121433.0,2021
122,"XL Recordings, Sony Music Publishing",1117165.0,2021
123,Rodezel,1112951.0,2021
124,Sony Music Entertainment,1110957.0,2021
125,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),1090745.0,2021
126,Sony Music Labels Inc.,1076084.0,2022
127,Jenni Rivera Enterprises LLC,1072002.0,2020
128,88rising Music/Warner Records,1071672.0,2022
129,Standly,1055793.0,2022
130,El Cocodrilo Solitario S. De R. L. De C.V.,1050378.0,2020
131,"2019 UMS Music & Dynamic Records | Distributed by GLAD Empire, LLC",1038594.0,2020
132,Sweet Jane Recordings,1023465.0,2022
133,Tamarindo Recordsz,1023020.0,2020
134,Play Music,1017398.0,2020
135,El Jefe Records,1010807.0,2020
136,Lap Records Inc,1000081.0,2022
137,La Factoria,988191.0,2022
138,Rich Vagos Entertainment,985715.0,2020
139,PLATTENLABEL,974944.0,2020
